Entity,Date,Description,Amount,Candidate,Oppose/Support
Citizens for a Better South Bay- in support of John McCann for Supervisor 2025,2/12/2025,Canvassing,"$75,000.00",John McCann,Support
San Diego Unity Supports Chavez Supervisor 2025,2/17/2025,Mailing,"$18,429.06",Carolina Chavez,Support
Citizens for a Better East County CBEC,3/1/2025,Canvassing,"$10,000.00",John McCann,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",3/3/2025,Mailer,"$63,391.14",Paloma Aguirre,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/4/2025,Poll,"$17,200.00",Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/4/2025,Consulting,"$10,000.00",Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/4/2025,Voter File,"$2,200.00",Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/4/2025,Mailer,"$36,804.09",Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/5/2025,Door Hangers,"$4,588.63",Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/5/2025,Graphic Design,$816.00,Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/5/2025,Field Program,"$43,908.33",Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/5/2025,Field Program Voter File,"$8,700.00",Vivian Moreno,Support
San Diego Unity Supports Chavez Supervisor 2025,3/6/2025,Mailer,"$18,429.00",Carolina Chavez,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/6/2025,Voter File,"$2,200.00",Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/6/2025,Graphic Design,$924.80,Vivian Moreno,Support
"San Diego Working Families Supporting Vivian Moreno for Supervisor 2025, Sponsored by Laborers International Union of North America, Local 89",3/6/2025,Mailer,"$36,804.09",Vivian Moreno,Support
Community Voices,3/6/2025,Direct Mail,"$33,752.79",Vivian Moreno,Support
"Working Families to Support Paloma Aguirre for Board of Supervisors 2025, sponsored by Service Employees International Union Local 221",3/6/2025,Mailer,"$28,491.14",Paloma Aguirre,Support
